daily_metrics_id,session_id,user_id,created_time,venue,TWD,TWS New (Deprecated),TWS New V3,TWS-,TWS+,sea_state,type_of_day,primaries,lowers,caps,board,bridle,outhaul,track,clew,tack_height,course_area,free_notes,conditions,current,vang,cunningham
luhwIcECSyOIA.ymsFxAXQ,TgPVjdFFTWmEMf1sGmOq.A,vlTNteyCRm6-hOs.YN5HeQ,"10/3/2025, 6:39:12 a. m.",Palma,S,"DT 4-8,FP 9-12","DT 5-8,FP 9-11",,,swell,Strong side or Don’t Know,"0,3",1,0,0,3,,"3,4",top,,A,+1 lowers was effective for leech. Double check if base has moved.,,,,
T7SZ1C2-SNuZ0x6ALGsNJg,jBsUyYoQTw-jyUa2b5hqBw,vlTNteyCRm6-hOs.YN5HeQ,"11/3/2025, 3:25:02 p. m.",Palma ,"S,SW","FP 9-12,DP 13-18","FP 9-11,DP 12-18",,,swell,,"4,10,12","-3,-2","-1,-0.5",0,4,2,"3,4",top,"2,5",2,"P 12
L -3
C -1
Vang 2 fingers past bars ",,,,
0oumMyFFRw-RQzEDmI3etA,vGPfSAr8SDeVJ0qT6AKYqA,vlTNteyCRm6-hOs.YN5HeQ,"13/3/2025, 2:43:03 p. m.",Palma,SW,FP 9-12,FP 9-11,,,swell,Stable breeze,"3,5","-1,-0.5","0,0.5",0,4,1,"3,4","middle,top",,1,"New tack line, will have marks manana.",,,,
GuNuPmkUTXWD5kY.G8WyGg,7D5gYRkGQICZ5WCTi64kkA,vlTNteyCRm6-hOs.YN5HeQ,"15/3/2025, 5:02:48 p. m.",Palma ,"SW,W","FP 9-12,DP 13-18","FP 9-11,DP 12-18",,,swell,,"10,16","-4,-3","-1,-0.5",0,4,1,4,middle,"4,6",1,"Austrians were more vang but board 2 steps up.  

Our vang was 2 fingers past the bars giving return on the bottom panel.  
Bridle could have been half up with the vang we ran today. 
Bottom panel was getting flat.  ",,,,
QCy0S3OvQ8CVhHwLpX-.kg,1.9ZJIzzRN-MFI-vtsJO3A,vlTNteyCRm6-hOs.YN5HeQ,"16/3/2025, 5:29:29 p. m.",Palma ,SW,"DT 4-8,FP 9-12","DT 5-8,FP 9-11",,,swell,,"2,3",0,"0,0.5",0,4,1,3,top,,1,"Second set up, with the cap half up was a rocket in 10-12",,,,
Ur6flpXDTS2jg4gR5c8IpQ,aFRDHCNKQjSIV1ngt0nlMA,vlTNteyCRm6-hOs.YN5HeQ,"17/3/2025, 1:11:18 p. m.",Palma,"N,NW",ST 0-3,ST 0-4,,,flat,Shifty. Pressure and angle variable. ,-2,-4,-0.5,0,0,0,3,top,,1,,,,,
yUvRRp1CSVifAySwMFQIrg,V7SUTEfiRvmIqtCQQs16vw,vlTNteyCRm6-hOs.YN5HeQ,"22/3/2025, 5:01:28 p. m.",Palma ,"SW,W",DP 13-18,DP 12-18,,,swell,"Open main, offset left swell or almost even on max right","12,18","-4,-3","-1,0","0,2",4,1,4,"middle,top",,1,"Rudder, jib, vang combo…",,,,
GH6NmHZ-R3KV7EzHqO-4.w,KasG5e67TDO4xLSQueBaVg,vlTNteyCRm6-hOs.YN5HeQ,"23/3/2025, 1:23:25 p. m.",Palma,SW,OP 19-22,OP 19-23,,,swell,Strong and slight offset left waves,"22,24",-6,"-1,-0.5,0",3,4,"1,2","4,5",middle,,1,"12-16 cap range
Track 5 reserved for full survivor 
Found max down on middle clue 
Funky inversion on batten 6 all day even with extremely loose lowers.  ",,,,
sEFOhWHzS-Sb2TXDcsOU8Q,eBW3czDoT2OXxQ4RJAf2Pg,vlTNteyCRm6-hOs.YN5HeQ,"24/3/2025, 6:08:29 p. m.",Palma,SW,"FP 9-12,DP 13-18","FP 9-11,DP 12-18",,,swell,Open main,"10,12,16","-3,-2","-1,-0.5","0,1",4,2,"3,4",top,,1,"Tack height, -0.25…-.5
Vang 2.5 at 10, 2.7 at 16
*in addition to develop the rocket, utilize controls to put depth into the main when long periods outside of ideal. ",,,,
QnIWQHv9Qc6E.sQ3-SCvGQ,bduBPqjgRKKps7wI9fVrGQ,vlTNteyCRm6-hOs.YN5HeQ,"25/3/2025, 1:20:01 p. m.",Palma ,SW,"DT 4-8,FP 9-12","DT 5-8,FP 9-11",,,chop,4ft closed main ,"0,3",0,0,0,2,1,3,top,,1,Possibly -0.5 cap in last race to allow boat to squirt forward…,,,,
s4TVcKlIQNuUFP8x3FT5xg,0Tzyp2uPSeChcT3ObNsOUw,vlTNteyCRm6-hOs.YN5HeQ,"27/3/2025, 3:01:25 p. m.",Palma ,SW,"ST 0-3,DT 4-8,FP 9-12","ST 0-4,DT 5-8,FP 9-11",,,chop,4ft closed main,"0,3,6","-1,-0.5,0","-0.5,0",0,"0,2,3","1,2",3,top,,1,Tack height at -0.5. Lowest was -1.0 (limit low for the conditions ,,,,
DMs8MkFJQZaHDVLxxGdyyQ,NdJ-3MCVRGGXcVFTtyjitQ,vlTNteyCRm6-hOs.YN5HeQ,"28/3/2025, 4:01:53 p. m.",Palma ,"SW,W","ST 0-3,DT 4-8,FP 9-12","ST 0-4,DT 5-8,FP 9-11",,,chop,,"0,1,6","-1,0","-1,0","0,1",3,"1,2","3,4",top,,1 ,,,,,
kZfILvaxQS-qQv868xs5vA,m24jNWdJSpWRcVt7emdc1A,vlTNteyCRm6-hOs.YN5HeQ,"30/3/2025, 1:50:45 p. m.",Palma ,"W,NW",FP 9-12,FP 9-11,,,flat,4ft tight main ,4,"-1,0","-0.5,0",0,2,1,"3,4",top,,"1, 3",Important to keep my head up during boundary drills to dial in controls and comms to Nev. ,,,,
kIYmeSTsQHaZRMZv260Q1Q,cz9KILl4Thi.8kIlM9PmQQ,vlTNteyCRm6-hOs.YN5HeQ,"31/3/2025, 5:42:38 p. m.",Palma ,SW,FP 9-12,FP 9-11,,,chop,None of the above (pressure variable?),"0,3,6","-1,0",0,0,2,1,"3,4",top,,3,"6,-1 seemed to be too many primaries in this sub 11 knots… hard to say other than be a little more covered for the lulls when it’s this shifty. Thinking lowers, particularly. ",,,,
7mp2lZdiTWWHlpx-Ozc8UA,yAvxP18kRfCeEHZtDw499g,vlTNteyCRm6-hOs.YN5HeQ,"1/4/2025, 1:32:53 p. m.",Palma ,SW,"DT 4-8,FP 9-12,DP 13-18","DT 5-8,FP 9-11,DP 12-18",,,chop,"4ft tight main, open main ","0,6,8","-1.5,-0.5,0","0,1",0,"1,3","1,2","3,4",top,,3,"Possible missed primary depower on last race (p=10)
R1, boat felt a tad unforgiving with the cap 1 down.  Need more hours in this setting and condition. ",,,,
NiENdz7AQZCvQLqa3r48hg,fpvRB7ORQIaMswrMv2EHKg,vlTNteyCRm6-hOs.YN5HeQ,"2/4/2025, 2:06:12 p. m.",Palma ,SE,FP 9-12,FP 9-11,,,chop,Open main,8,"-2,-1.5",-1,0,3,1,3,top,,2,"Cap up was great! Ian work on gate exits, and how quickly we can get through the gears without stalling the main.  ",,,,
ESj.axjEQeWvmT7Px4FVdA,uLvxVX6VSoKEgWpim8VI1A,vlTNteyCRm6-hOs.YN5HeQ,"3/4/2025, 11:33:01 a. m.",Palma,"NE,E","DP 13-18,OP 19-22","DP 12-18,OP 19-23",,,flat,Open main to strong. Pressure on outside of course. ,"11,20","-4,-2.5",-1,"0,4",3,"1,2",4,"middle,top",,2,Want to try cap at base and lowers 1.5 to 2 looser than normal to match the top guys in todays conditions… ,,,,
25pqRz-bQXGO54k9Dy6zXg,t.c9I4PGS9GbZTcmPOYbpw,vlTNteyCRm6-hOs.YN5HeQ,"5/4/2025, 1:04:26 p. m.",Palma,SW,"FP 9-12,DP 13-18","FP 9-11,DP 12-18",,,chop,"Open main, steady pressure and angle",4,0,0,0,3,1,3,top,,1,,,,,
MkrlIHqrQHOLXQKW1y1CJw,a-8sM3NC4RGGtcXs6zJon6Q,sIY5BybFSMa.UrJYdtwAbQ,"18/4/2025, 7:04:29 p. m.",,"W 270º,NW 315º",DP 13-18,DP 12-18,,,chop,Offshore corners,,,,,,,,,,,,,,,
HL3r4M.tQ8OGVDDod8Y5gw,xx-i91JvT5alV3-UaBptMQ,vlTNteyCRm6-hOs.YN5HeQ,"20/4/2025, 1:42:55 p. m.",Hyeres,SE 135º,"ST 0-3,DT 4-8","ST 0-4,DT 5-8",,,flat,0-2… 4ft tight main… steady and slow puffs,0,0,"0,0.5",0,"0,1,2","0,1",3,top,,,"Cap half down accomplished a more rigid feel to the boat.  
Using the boom DW to read the rhythm of the mode.  
",,,,
4PUv7k8SSfm5U2eeuYnU8A,rC6GxPXzTRKgFphE9hSg1A,vlTNteyCRm6-hOs.YN5HeQ,"21/4/2025, 12:17:27 p. m.",Hyeres,W 270º,"FP 9-12,DP 13-18","FP 9-11,DP 12-18",,,flat,"Stable breeze, sometimes incomplete pressure right","8,12",-2,-0.5,0,4,1,4,top,,Charlie,Looking to increase downwind ability.  *Check to work*,,,,
BfSKAl9ZQgmy6IFlqg0xBA,7WHpTH17TAG5QmojIbe2dA,vlTNteyCRm6-hOs.YN5HeQ,"23/4/2025, 5:09:22 p. m.",Hyeres ,W 270º,"DP 13-18,OP 19-22,S +23","DP 12-18,OP 19-23,S 24+",,,flat,Steady… survivor ,"10,24","-5.5,-2","-1,0.5","1,4,5",4,1,"4,5","middle,top",,"Charlie, foxtrot ","AUT
27
-9
Jib T5, middle, max down on tack ",,,,
ztpPZQ9iQfK0eIGm3b7PkQ,iSMe515MSdiuZWHtp8eZ4A,sIY5BybFSMa.UrJYdtwAbQ,"24/4/2025, 7:10:13 p. m.",,,,,,,,,,,,,,,,,,,"Try more primary’s (27)
Less lowers (-8)
Track 4
Board up high",,,,
67NmnRFSQ5S03QciyaFKIw,jEkkngySQqeJ-nEvHVKYUg,sIY5BybFSMa.UrJYdtwAbQ,"26/4/2025, 8:17:22 p. m.",Hyeres,E 90º,DP 13-18,DP 12-18,,,chop,One side favoured,13,-3.5,-1,3,,,4,top,,Medal race,"Se should try cap -0,5 instead of -1",,,,
GNrMusj7T8On4yBUqJMHtg,ClqnP4Y1Rq2ewjjnWo.9dA,vlTNteyCRm6-hOs.YN5HeQ,"14/5/2025, 10:30:51 a. m.",MYC,SE 135º,"FP 9-12,DP 13-18","FP 9-11,DP 12-18",,,flat,Dirty offshore ,6,-1,-1,1,4,1,4,top,2,Monument ,"Old sails, very flat bottom panel on the main. ",,,,
4GB5jRbAQoOfRaJcy0c3hw,a.c9HnaqJSweTE7tSxRPxiQ,vlTNteyCRm6-hOs.YN5HeQ,"14/5/2025, 10:35:30 a. m.",MYC,SE 135º,FP 9-12,FP 9-11,,,flat,"Steady ocean, pressure variable ",0,0,0,0,2,1,4,top,3,North side ,"Watching top panel of jib during complex maneuvers if I have outside covered will help me progress here. 

Full power, trapeze height relative to platform discussion…",,,,
N8urBBPdQyOUUN8WcPIbQA,fYz-dKBDSjyA9ymdydS36w,V79vQdnNSQecBkOCiH9HEA,"23/5/2025, 4:22:02 p. m.",,,"DT 4-8,FP 9-12","DT 5-8,FP 9-11",,,,,,,,,,,,,,,,,,,
b5.bPlAnQVqdyEvKXBdfFw,fYz-dKBDSjyA9ymdydS36w,V79vQdnNSQecBkOCiH9HEA,"23/5/2025, 4:22:17 p. m.",,,DT 4-8,DT 5-8,,,,,,,,,,,,,,,,,,,
V9SthL2cQ1K0-uaaPGLjvQ,dlBmwdrsQHmKLSTkh0zzlw,vlTNteyCRm6-hOs.YN5HeQ,"27/5/2025, 3:53:43 p. m.",Thessaloniki,N 0º,DP 13-18,DP 12-18,,,chop,Pressure variable ,"12,15",-4,-1,"1,2",,1,4,"middle,top",,B,"Happy with the theory of board up to match a potentially more powerful sail plan. Worth trying in the future. When in the choppy and full power range. 


**For Greece** (Pre-chat at home)
- Identifying the small differences and being aware from 8-12kts in all the micro adjustments to gain 1m and not lose 5BL
- Light seabreeze and very patchy
	- Nathan mode (moving around) or fighting for our spot in pre-start strategy
- Practice long line work
- Speed testing with the Austrians
	- Upwind finding moments for forward mode
	- Downwind identifying where VMG is (Low or higher?)
- Upwind tight layline work, opens up playbook
- Mindset
	- We've proved on staying tight together and staying untouchable as a team (no matter the mistakes)
	- Getting on our habits of support when the answers are not clear
- Testing the new kite + orange kite?
- Setup
	- Caps tension (maybe going that half lower)
	- Awareness of where to put the lowers (3, 4, 5 lowers off in single trap?)
	- Tighter on caps but easing up turnbuckles
- Downwind ease halyard 4cm on kite to allow kite to release away
- Which mast and which forestay?
	- Olympic mast
	- Short forestay",Offshore playing the shifts and gusts,,,
a.Jxi2L3FTv2RM-rCoz4jjw,VqtfxadhTmKESMC7FJlUFA,vlTNteyCRm6-hOs.YN5HeQ,"28/5/2025, 3:03:45 p. m.",Thessaloniki,N 0º,DP 13-18,DP 12-18,,,chop,Pressure and angle… finding moments when pressure is complete across the course. Use course geometry ,"12,15,18","-4,-3.5",-1,"1,2",4,1,4,middle,0,A,"Happy with comms and coordination on UW connecting different pressure lines. 
DW, big improvement with the black kite. Taking note on how important shape is. Body work is an avenue to improve, being back and rigid through chop and also utilizing back foot to get over waves. ",Offshore playing the shifts and gusts,,,
XeJSmaczRZm1KH0HbFEtvA,zpjbQWQkSOSkWvIqC9gPvw,vlTNteyCRm6-hOs.YN5HeQ,"29/5/2025, 4:29:06 p. m.",Thessaloniki ,"SW 225º,W 270º","ST 0-3,DT 4-8,FP 9-12","ST 0-4,DT 5-8,FP 9-11",,,flat,"Light and unstable, safety right","-2,0","-4,-3,0",1,0,2,1,3,top,1,B,"Ended up at 3mm prebend…

**Alexander the Great Regatta (Pre-Regatta)**
Day 1
Shifty 10-18kts from 300-340º we sailed mostly on Course A which is sort of on the corner of the Thessaloniki Yacht Club area.  There were a few container ships anchored upwind of us on the other side of the channel.  It was a day of shifty winds and unpredictable puffs.

Strategy
The wind from the right would often wave through the course, moving quickly.  Whereas, the wind from the right would sit off of the course above the port layline and really only reward those who went all the way out there.  There were shifts 

Day 2
Unstable sea breeze 200-220º 5-10kts.  Was a mostly right hand biased track with opportunities across the middle at time.  We were on course B which is slightly more East of the point off of the Yacht Club.  End of day big right shift.",One side favored,,,
jamsr4H3SdySefiFklsGYg,QzPaSdMpRuWlvXOtVzNicg,vlTNteyCRm6-hOs.YN5HeQ,"30/5/2025, 11:25:39 a. m.",Thessaloniki ,NW 315º,"FP 9-12,DP 13-18","FP 9-11,DP 12-18",,,chop,Dirty pressure and angle…,"8,12","-2,0","-1,-0.5","1,2",2,1,4,"middle,top","1.5,0",A,Ended up -2 on starboard and base on the port lower for the final race. ,,,,
JzlrHKpcSNSU08koC3Azzw,b3K6YLrQSsW1Xv9DTvCzEg,vlTNteyCRm6-hOs.YN5HeQ,"31/5/2025, 4:41:28 p. m.",Thessaloniki,W 270º,ST 0-3,ST 0-4,,,flat,Minus ,0,-3,1,0,0,2,3,top,1,A,"Kite timing on gybe is critical. Need to have luff working on new side by DDW.  

",,,,
soHZyTvFSCma7fnsxvbrjA,CUc18JwETzeUtxSFcgaNIA,pOIJawgCRnSTct2LpGPoig,"1/6/2025, 1:57:31 p. m.",,,,,,,,,-1,-2,0,0,,,,,,,"Puesta a punto:
Tensiones al volver del agua:

Medios: 27 
Altos: 21
Bajo: 17

Vueltas:
- -1 en los primarios (cuando soltamos bajos, cazar primarios en vez de soltar) +2
- -2 en el bajo
- +0,5 el alto ",,,,
YG.xWUrbSwCtbFF79AGtvQ,fsQkuOIwQiOhHY86Uyw-aA,vlTNteyCRm6-hOs.YN5HeQ,"2/6/2025, 12:43:51 p. m.",Thessaloniki ,SW 225º,ST 0-3,ST 0-4,,,flat,Minus,2,-3,-1,0,0,1,3,top,,A,"Reminder for the main to follow the angle first and foremost. When it’s minus we have the added issue of stalling out the sails and killing the little speed we have. First trimming building block is this.  

Add the laying down crew style to the chart ",,,,
ZiC3aJ8FRZ2z.JUDs73Kbw,1WV1ysxSTga66JIYvRHycg,vlTNteyCRm6-hOs.YN5HeQ,"3/6/2025, 1:20:17 p. m.",Thessaloniki,SW 225º,DT 4-8,DT 5-8,,,flat,"2 ft, 4ft tight main R2 and R3",0,0,0,0,"1,3","1,2",3,top,1.5,B,"In boat: 
-launch comms (good or bad, need comm!)
-moments around the course to use the bow in more 
     These shouldn’t be a surprise to me if I’m tracking well… 
-Ian working on comms when finding mode in changing conditions (R2 L2)
-seems like safety right when 230-240 and at 210, the story is different… 


**Training**
Gybing in light winds
- Pop the battens with body more to windward, windward foot on wing, more leverage
- Pump/flatten more forward on the wing (canoe mode) to keep kite nicely engaged
- Rotate kite super early if possible especially when doing a lay down gybe (mega-light)

Starting in light winds
- Focus more on crunching up on the boat to windward, rather than rolling the boat to leeward
- The boat to leeward will take care of itself once you have establishing your lane later on in light winds, can't force the roll
- Look for a late maneuver to windward
- Engage foils and flow (almost race mode) when taking a big double tack on port
- Mega-light winds is usually Ian weight on flatten, as I will have mainsail work to keep on

Upwind technique in Greece (flat water / light air)
- More steady boat trim
- Lead with the mainsail to make mode change moves, since there is nothing to slow the boat down like chop doing the small body pumps does not seem as effective and rather it might mess with the flow",Unstable sea breeze (open),,,
6gj7-1cUTKWIVUbRf2tcNA,TZIHUNn7QWSX2bhJOyMu2Q,vlTNteyCRm6-hOs.YN5HeQ,"3/6/2025, 1:24:21 p. m.",Thessaloniki,SW 225º,DT 4-8,DT 5-8,,,flat,"2ft, 4ft tight main R2,3",0,0,0,0,"1,3","1,2",3,top,1.5,B,"Story: 230-240 seems to be safety right (almost start and tack). As the wind backs, the story gets weird and potentially a pressure bonus course left (not congruent with DW gains)
In boat:
-Communication on launch (good and bad moments!)
-Missing moments to utilize the bow in around the course
      If I’m tracking the race well, these shouldn’t be a surprise… 
-Ian comms when finding the mode in changing conditions (R2 L1?) 


- Wind left of 210º watch the left, wind right of 215º watch the right
- Course is almost always open, though.  Very unstable these light seabreezes
	- Stay alert and always be willing to reevaluate a new plan even when it all seems obvious
	- I have gotten a bit too comfortable when things look like they will be all good and simple and missed a new change
- Stay positive, stay positive, next move, next move","One side favored,Unstable sea breeze (open)",,,
h4Q4Fiu1TtyRej-fvxHPBg,RFnhqq8oT4GF.AegbDzT5w,vlTNteyCRm6-hOs.YN5HeQ,"6/6/2025, 4:53:40 a. m.",Thessaloniki,"S 180º,SW 225º","ST 0-3,DT 4-8","ST 0-4,DT 5-8",,,flat,Light and unstable… ,0,"-1,0",0,0,"2,3","0,1",3,top,1.5,B,"Seemed like there was some sort of current or flow making it hard to stay on the line for the entirety of the pre start. The pin waiting position is about a boat length further away from the pin than I seem to expect.  

-comms when finding VMG around the course

Day 3 Notes (Klaus)
- Stay aware of wind condition to make changes in the set up
- Settings
	- Working the wing (-2+1)
	- Working into the hull (-4+2)
	- Double trap (base)
- Gybing when we are both trapezing, don’t kill the heeling when popping the battens cause then we only have to wait to develop to double trap
- Better to pop just the two from bellow and sync to hit together
- “High mode” acceleration to lock the boat as soon as possible with the main",Unstable sea breeze (open),,,
oX1iUi6rRNa6GM5JvhcVMw,mKtOaEmcSnitZgk523crOw,vlTNteyCRm6-hOs.YN5HeQ,"6/6/2025, 6:29:25 p. m.",Thessaloniki,"S 180º,SW 225º",DT 4-8,DT 5-8,,,flat,0-2ft,0,0,0,0,2,"0,1",3,top,1.5,B,"Base seems to be 6 kts+… working on finding a half minus.

Day 4 Notes
- Make sure we are all the way to the pressure on our side before we tack early or gybe early.
- Downwind moding
	- When developing a higher faster mode in lighter airs:
	- Keep Ian forward on the skate grip part of front wing
	- Work my weight aft and then out to edge of wing
	- Once developed on the edge of wing try to stay there by doing some micro driving to keep my weight up
- Upwind I would say we are still missing our higher/faster mode (ofcouse would be nice).  Ideas we are trying in lighter airs:
	- An  in-between setting between base and the full drifter set up. (-2+1). I think this feels nice and is a bit forgiving. 
	- Jib set up still elusive.  Kiwis going middle hole and higher on jib and really nice high mode, maybe a slightly flatter twister jib is better?  Maybe the top hole is just too deep in some parts for how light and flat water it is.",,Right to left?,,
yd5.IjpJRse6wQRLn1NvKw,igRjLoy5TxmFoHNDk0JkLQ,vlTNteyCRm6-hOs.YN5HeQ,"7/6/2025, 4:22:32 p. m.",Thessaloniki,"SW 225º,W 270º",DT 4-8,DT 5-8,,,flat,"0-2ft, 4ft tight main","0,1,2","-1,0","0,0.5",0,"1,2","1,2,3",3,top,1.5,A,"URU mode DW 

Ian needs to utilize shoulders more upwind to keep the boat tracking 

Would love to work on tight laylines up wind (doubles at the pin) to iron out the moves with a last minute shoot.",,,,
ILevkurdTkC2WMX15EFbvw,y7MRjERVRDyaxIGEKVMU5g,vlTNteyCRm6-hOs.YN5HeQ,"10/6/2025, 7:08:13 a. m.",Thessaloniki,"S 180º,SW 225º","DT 4-8,FP 9-12","DT 5-8,FP 9-11",,,flat,4ft tight main,0,-1,0,0,2,1,3,top,1.5,Medal Race (A),"Day 5 Notes
Seems like a gain to be taking our *slightly flatter* setup higher in the wind range.  Gives us more range on trimming and movement I think.  Will this work in more seastate?  I am not sure.
Need to develop a batten tuning system in Long Beach.  How do we measure and when do we change?

When gybing in super light air pop from further forward on wing as it gives nice depth to the spinnaker for some reason.
We started to doing tacks where Nevin takes main more, no drama, but what is our overall thinking here?  Happy with the change or should we find ways to make the Ian pass the main style easier?

Medal Race
We can always do this.
I think 10 boat race Nathan start mode is almost always better.  There is almost always a lot of room.  Can fake people into thinking you are doing a Sime start and fighting blind and the sneak away to open space later.",One side favored,,,
aij-wxJ5SMajKhDgtSq7NA,KtFz49w0R.qYfCqyXd-80g,vlTNteyCRm6-hOs.YN5HeQ,"5/7/2025, 12:16:25 p. m.",Long Beach,SW 225º,DP 13-18,DP 12-18,,,chop,steady sea breeze,"4,8,12","-1.5,-1","-1,0","2,3","3,4",1,4,middle,3,ABYC,"Challenge will be semi choppy Chinese mode…. 
Worked on figure 8’s to get back into the habit.  ",One side favored,Westerly current,,
kf4FQQOFQoaN2fFab2Fk3w,awwH8LNPTrOGyevAvheZ.w,vlTNteyCRm6-hOs.YN5HeQ,"6/7/2025, 12:15:06 p. m.",Long Beach,SW 225º,"FP 9-12,DP 13-18","FP 9-11,DP 12-18",,,swell,Keel boat mode… Chinese ,0,"0,0.5","-0.5,0","0,3",4,1,3,"middle,top","4,3.5,3",Outside break water,"Challenging sea state outside of the break wall. One set of waves was offset left of the TWD maybe ~200*. With the wave offset, any header on starboard was really easy to keep the speed in th waves.  ",One side favored,,,
MK1ewM7dSL-aqRhbcjo7fQ,0ruEFg-5TAuopbnyd506gg,vlTNteyCRm6-hOs.YN5HeQ,"9/7/2025, 11:54:37 a. m.",Long Beach,SW 225º,DP 13-18,DP 12-18,,,swell,open main,"8,14","-2,-1.5",-1,"2,3",4,1,4,middle,4,outside Break water,"Raced 3 one lappers with CHN. Strong course left, but boat was a handful with both the main and the jib very deep and powerful. Need to read the Hyeres notes to refresh our technique and tuning. The obvious one is looser lowers… ",One side favored,"yes, but don’t know number",,
