session_id,GENERAL / Type,CAMP / camp_id,TIME DATA / start_time,TIME DATA / end_time,ASSESS / goals,ASSESS / highlighted,ASSESS / best,ASSESS / To Work,ASSESS / assessment_boolean,GENERAL / Results,ASSESS / Standard move,audionotes,ASSESS / Wind Pattern
V7SUTEfiRvmIqtCQQs16vw,Training,a-9YGY.BpR6SlV.AqI9UsHw,"22/3/2025, 4:27:00 a. m.","22/3/2025, 6:30:00 a. m.","To move around the boat and start getting confidence in manouvers again
",,"-communicating what we need to achieve to make it good. The positive way of saying things

-getting the steps wright back from side to side controlling very well the speed of movement

-having present to realease the jib before the tack in the condition that on the new side we need to rebuild to get into planing mode,
Key thing to help the boat get quick into numbers 

","-entry of gybes. What rudder we have to start turning (wait to feel the collapse) and when to move the body in

-exit of the tacks from stb to port

-UW mode.
Learning to use vang to power up the main to be able to live in the high angle
This is link with the wright jib set up. If it is to deep, when we get to the angle that is found by steering up, the WW tail tail in the entry is allways flying to high
If the jib is to flat, when we get to that angle we loose pressure
If we steer up without trimming jib tighter we cannot live there (tail tail must be flying 40*)
Keep working on the perfect jib set up, to be able to put the bow up with the wright amount of jib leach tension and there control the vang to sit the boom on the sweet spot 
This mode goes by it’s own

Ian makes the call of this is the bow and then Nev controls the power by steering accurately.
Similar feel as in light breeze where we get the WH with the rudder, not with the bodies
",,,,,
KasG5e67TDO4xLSQueBaVg,Training,a-9YGY.BpR6SlV.AqI9UsHw,"23/3/2025, 7:00:00 a. m.","23/3/2025, 10:00:00 a. m.",Racing with Germans ,,"Solid around the race course

-cap down help us on control and develop height

-better coordination to excecute the pre start and the acceleration process

","-UW long port laylines 

-timing to shoot for the start
7secs when we have some grip forward
10secs when we are stopped

-UW comms when we are around the limit of the groove to be able to maintain

-jib trimming is sometimes dynamic
We trim the jib sometimes for the feel, not for the shape!
",,,,,
eBW3czDoT2OXxQ4RJAf2Pg,Training,a-9YGY.BpR6SlV.AqI9UsHw,"24/3/2025, 8:45:00 a. m.","24/3/2025, 11:05:00 a. m.",Races and time solo,true,"-Starts! Good position to develop our mode and hold to the lay line 

-set up and how we sailed the boat overall

-space we give to try and explore new things

HAMMER DOWN mode
Same trap height helmsman and crew

","-vang and leech position

-hike hard even with the head when searching super fast!

-vang and jib position DW

-interaction before the next leg to match modes and be accurate on what we need and for how long!
",,,,,
bduBPqjgRKKps7wI9fVrGQ,Training,a-9YGY.BpR6SlV.AqI9UsHw,"25/3/2025, 8:50:00 a. m.","25/3/2025, 10:50:00 a. m.","Improve start metrics, prestart maneuvers and accelerations ",,"Speed upwind

Attitude to work and learn 

Being active while waiting between races to leave early and wait at the fabkured end before the time goes (Fantela mode)

","-Interaction on the last quarter of the DW to know the options of gate rounding we have

-DW laylines and percentage play book when we are in first

-when leading and we have still some doubts to make UW plan, allways layline to the first mark so we can still choose the other one

-fighting the place, using more the boom to use that power to go a bit more out in the wing and make the skull more efficient

-be together in the line while pumping the boat and correct together instead of only Ian a lot

-utching to gain forward UW, using a bit of cuno, movimiento slightly back on the boat, release lowers",,,,,
0Tzyp2uPSeChcT3ObNsOUw,Training,a-9YGY.BpR6SlV.AqI9UsHw,"27/3/2025, 7:59:00 a. m.","27/3/2025, 11:53:00 a. m.",Pre start maneuvering and accelerations,,"-Attitude! 
-boat handling on the pre start
-speed UW in light air (double trap crunching)

SANTI d-brief:

-3 daily goals and work that for the day

“-communicate what we are thinking

-standardize moves in the DW. Options when we are in the from pack and options when we are at the back of the pack

-","-DW laylines

-make an approach to the start line to re-check set up and technique

-first 100mts off the line (we can do a better job on how to sail the boat through modes to capitalize so we can make our mo
",,,,,
NdJ-3MCVRGGXcVFTtyjitQ,Training,a-9YGY.BpR6SlV.AqI9UsHw,"28/3/2025, 8:30:00 a. m.","28/3/2025, 11:00:00 a. m.",Testing with AUT and practice racing. ,,"Coordination UW in light breze
Coordination at starts

-standard moves! (We pass from 2nd to first fybing to left mark and 2st over standing lay of right mark","-set up in light air ( we went +3 when it was for base)

-Changing modes when we are sailing trough two different conditions at the
 same leg

-when we are leeward of a boat and we create space, sometimes seems that we can tack a bit earlier ",,,,,
m24jNWdJSpWRcVt7emdc1A,Training,a-9YGY.BpR6SlV.AqI9UsHw,"30/3/2025, 5:30:00 a. m.","30/3/2025, 7:15:00 a. m.",,,,,,,,,
cz9KILl4Thi.8kIlM9PmQQ,Regatta,eL0CvjPwQ8aO9HZFOuSOyQ,"31/3/2025, 8:00:00 a. m.","31/3/2025, 1:45:00 p. m.","Head out, 
Pre start and start execution",,"Pre start and start
","Strategy, interacting more on how we will do the next move
Switching decisions from wind, course or fleet (important to have 2 of the 3 if possible!) 
If there are doubts on how we feel the wind, we should play more the fleet
Head out!!
",,,,,
yAvxP18kRfCeEHZtDw499g,Regatta,eL0CvjPwQ8aO9HZFOuSOyQ,"1/4/2025, 7:10:00 a. m.","1/4/2025, 11:10:00 a. m.",Find good feeling around race course,,"Energy! 
Desicion making around the fleet
Boat speed at some moments of the upwind","Tactic wise: -if we pick a gate and we are making gains and the whole fleet is on our same tack, we should extend that so when we cross the other boats we don’t give them chance to attack

-transits on the starting line to be secure and know if we can push while we are at the middle of the staring line

-how to hammer down",,,,,
fpvRB7ORQIaMswrMv2EHKg,Regatta,eL0CvjPwQ8aO9HZFOuSOyQ,"2/4/2025, 5:15:00 a. m.","2/4/2025, 9:15:00 a. m.",,,"Desicion making upwind

Strategy linked to starting position and excecution

Head out to look wind / geometry and race track","Making each other a better competitor and stay strong together to keep the confidence up when bad desicions has been made

Make sure we check that we are good to keep fighting when we are about to leave the rib for next race

",,,,,
uLvxVX6VSoKEgWpim8VI1A,Regatta,eL0CvjPwQ8aO9HZFOuSOyQ,"3/4/2025, 5:20:00 a. m.","3/4/2025, 8:55:00 a. m.",,,Attitude,"When the wind is offshore and the fleet is split over the two sides, we have to play our side. somtimes we can work the shifts on our side but we have to be careful and have and eye when we tack first on our group making sure that while opening first,  our progression with the pack is good. Cause sometimes there is more in the edge and is important to get back and play the corner more",,,,,
FudKgDvTSuGr6Q3Bfu7YHg,Regatta,eL0CvjPwQ8aO9HZFOuSOyQ,"4/4/2025, 5:15:00 a. m.","4/4/2025, 9:45:00 a. m.",,,,,,,,,
P5rM4lkRTqiIyRXwxsoRJA,Regatta,eL0CvjPwQ8aO9HZFOuSOyQ,"4/4/2025, 10:50:00 a. m.","4/4/2025, 1:45:00 p. m.",,,"We been able to play better our side
Being more agressive to play our side and having more clear how to play our pack
","Switch between wind and pack by observing well the whole escenario

Start execution",,,,,
t.c9I4PGS9GbZTcmPOYbpw,Regatta,eL0CvjPwQ8aO9HZFOuSOyQ,"5/4/2025, 6:05:00 a. m.","5/4/2025, 7:30:00 a. m.",,,"Se had the winning plan
Failed on the execution
","Wining the pin and holding the boat
001 mode for the start ( holding the boat with a bit of grip so we don’t slide, little controls and using more main than jib, jib is the last resource in case we are about to loose the bow up)
Better to be closer to the line but still protect the distance to the mark",,,,,
a.5d2pVDqRHCQPLlbEFei.A,Training,5TjNPtK9ThSZc13z9a3qow,"16/4/2025, 10:30:00 a. m.","16/4/2025, 11:45:00 a. m.","-splash 
-“.001”, jib on to help accelerate… hook up… try and find the ease as quick as possible once we are hooked.    
            *****Dial in vang so main sheet is gives quick reaction on acceleration*****
-French mode uw, crew stays hovering between shroud and kite block which allows Ian to trim well. (Good for twistier main) majority of weight is then handed off the Nevin

",,,,,,,,
yhF067.KTbWxkB9n1CPjoA,Training,5TjNPtK9ThSZc13z9a3qow,"17/4/2025, 10:00:00 a. m.","17/4/2025, 12:20:00 p. m.","Head out
Flow
Manouvers",,"Jib tight and steer for that. The bow is hold by the jib, so is important to trim it hard and be aggressive on the steering so when the puff hits we can keep the balance in the boat 

-in gybes, Nev steps in and forward so we can make one unique movement from side to side

","-accelerating the turn and bodies in the tacks when is flat water

-vang trining DW

-trap lower DW when is so flat, open main with some vang making sure there is pressure ",,,,,
a-8sM3NC4RGGtcXs6zJon6Q,Training,5TjNPtK9ThSZc13z9a3qow,"18/4/2025, 6:09:00 a. m.","18/4/2025, 9:30:00 a. m.","Manouvers flow
Race plan
Tuning",,"Boat control at pre start
Gybes / figure 8
Pre start control and acceleration excecution
UW boat speed","DW boat speed - hike harder so we push for more power having boat flat to LW. Allways try to ease as much kite as we can

If the leg is short, pick a lane that make us able choose our spot to tack

Click lower in the trap UW when gets flat
",,,,,
8VwEvRsrRSuaTWolP5oHMg,Training,5TjNPtK9ThSZc13z9a3qow,"19/4/2025, 4:10:00 a. m.","19/4/2025, 6:00:00 a. m.",DW speed. Develop how to stretch the gap when we are infront,,"DW feel. Trying to be on the eased side of the kite as much as possible without loosing pressure

UW depowering. Board up on top of class stickers, jib down below the swedge
Vang triming was key when the wind drop to hold pressure to keep bow up

UW small bodies adjustments to change gears


",DW switch between safe and send it!!,,,,,
xx-i91JvT5alV3-UaBptMQ,Training,5TjNPtK9ThSZc13z9a3qow,"20/4/2025, 6:40:00 a. m.","20/4/2025, 9:20:00 a. m.",Windy testing with simple course work in strong ,true,"UW fast mode- peach is key! Once Ian is on the corner of the wing, Nev should do the fine move to make him stay there. Use of canno to take wrinkles out 

Starting long line","-define DW angle, boom give us a reference, vmg has to be allways to LW

-gybes, Nev has to pump the boom quick and short so we don’t stop the boat and make an effort to pump as far forward as we can

-watch top marks! At the start, first quarter, half, last quarter!",true,,,,
rC6GxPXzTRKgFphE9hSg1A,Regatta,1nB.ZQ.wRUKMMnlUwEjkIQ,"21/4/2025, 6:40:00 a. m.","21/4/2025, 10:00:00 a. m.","-changing from head out to full speed
-starts
-win our side",,"Speed UW

Confidence knowing the type of day. (Visually the left but something on the right too) win our side and sail fast


","DW speed
Try to both lean more forward, maybe Nev go to crew strap
Jib triming 
Steer a bit up and open more main on gusts",,,,,
7WHpTH17TAG5QmojIbe2dA,Regatta,1nB.ZQ.wRUKMMnlUwEjkIQ,"23/4/2025, 5:00:00 a. m.","23/4/2025, 11:00:00 a. m.",Another day of practice.  ,false,,,,,,,
iSMe515MSdiuZWHtp8eZ4A,Regatta,1nB.ZQ.wRUKMMnlUwEjkIQ,"23/4/2025, 6:01:00 a. m.","23/4/2025, 11:20:00 a. m.","Head out 
Speed
Survival mentality",,"In the first race with 10/11 knts rocket mode upwind. Working on the hiking hard position from the toes to the head

Lay lines downwind in survival
","Survival confidence, how to solve capsizing scenarios to aproach to the gate or finish line (crew thinks while the skipper drop the spinaker)

Mood loosing / frustration. Culture is about respect, everything has a limit. 0 tolerance to disrespect partner, learn to control emotions

Survival gybes:
-On the open side of the main straight line, turn fast as soon as we are in the boat to d-compress the main and by the time is about to load on the new side, bow down
-trim main to the middle before gybing
-very secure, try to send Ian first to stabilize the boat and then Nev runs quick
-Cunningham on!
-both be able to trap out to save it if it’s loaded on the new side
",,,,,
mQzq5B9PR8KPCJaYgCYYUg,Regatta,1nB.ZQ.wRUKMMnlUwEjkIQ,"25/4/2025, 6:19:00 a. m.","25/4/2025, 11:20:00 a. m.","Head out to be able to read the wind. Is the wind filling through or is more local

",,"Attitude! We stayed together as a team

UW Chinese mode. (Full hike from toes to head)

Decision making UW

Starts! First beats. 
Head out when we are leading


","GATES: Connecting what’s been happening the leg before with the new one. Have a bigger picture of what is happening with all the boats, pressure / angle? 

DW: in this stressful conditions, we need to keep making desicions, so when there’s the first desicion made well, time to breathe and start thinking the next one. Sometimes by doing well the first desicion we just focus on performance and bang the corners loosing the perspective of wich will be the options to conect the wind or cross. HEAD OUT 90% of time. 
Ian needs to have the boat in the hand 

Make sure to deepower the boat with the set up when the forecast never said will pick up to much and we see instability

If we deepower the main with controls, we have to think on crunching when the transition comes
If there are no controls and the transition comes, we can squeeze harder the main to obtain power",,,,,
8mJjDWNYRV6-suqEWyBZ-g,Regatta,1nB.ZQ.wRUKMMnlUwEjkIQ,"24/4/2025, 6:13:00 a. m.","24/4/2025, 11:20:00 a. m.","Head out as much as we can, encourage each other to have a clear scenario of what is happening with the wind and boats around the race course",,"First two races super connected with the wind behavior, starting well and managing good lanes of preassure

","How to reset during racing to get back on the fight together as a team. How do I make to get the most of my team mate? 
Acceptance of what’s happening 
Apreciate the intention, not the words when my mate is recognizing as a mistake to re encourage him to get back and make desicions well

-get it simple when we are at the back of the fleet by spending more time the head out to understand what is going on and were we should be using boats as reference. Big picture and priorities!




",,,,,
jEkkngySQqeJ-nEvHVKYUg,Regatta,1nB.ZQ.wRUKMMnlUwEjkIQ,"26/4/2025, 7:30:00 a. m.","26/4/2025, 12:00:00 p. m.","Medal race plan. Sail clear lanes to be fast and make a good race 
Be prepare for attack to have options to defend at the pre start",true,"Win the event! 😀😀
Feeling that we can make it, that we are working well as a team and creating a sistem that will keep us fresh to be able to perform

Identify that the left was strong to race the first beat from were we where as best as we could to pick our best lane for the 2nd upwind to secure our way to the left clear and fast
","Balance and speed in chop 14/16 knts
Vang trining, caps trim, centerboard
There’s something more we can still have to be faster",,,,,
ClqnP4Y1Rq2ewjjnWo.9dA,Training,Vo4YL.xlQ3Cg6cPkilJ8aw,"12/5/2025, 3:30:00 p. m.","12/5/2025, 5:35:00 p. m.","Session 1 - Shake down sail.
Moños at the top and bottom of course.  Speed in tacks (especially starboard-to-port).  Figures 8’s warm up.  Nevin self clipping on downwind with tiller hand.",,"We had a good attitude to learn and be positive.  There were a few things that could make today challenging (shifty crazy wind, day 1 in boat, new trapeze harness for Nev) and yes we made many mistakes but we had a learning mindset which I want to push us to keep all the way through our next event.  ","Bears ways for Nev balancing in new harness with better mainsheet work.
Moño at leeward mark felt like we struggled to balance weight/sheet and had a little discussion about how to feel which was more important at the right time.",,,,,
a.c9HnaqJSweTE7tSxRPxiQ,Training,Vo4YL.xlQ3Cg6cPkilJ8aw,"13/5/2025, 3:30:00 p. m.","13/5/2025, 6:04:00 p. m.","360s around the bouy to work on our tight maneuvers together.  A few upwind sessions of Chinese mode.  Downwind double gybes, working on the pop and the nevin hook in technique.  Accelerations on a short line.",false,"Getting more flow going on the 360s.  Slightly wider circles but with flow was the goal.
Long time spent closer to Chinese mode felt good.
Really nice job working together on accelerations.  Patience but aggressive at the right moments, can’t force it too early.",More time being comfortable in Chinese mode.  Changing trap height to change boat heel but keeping our bodies close to water was something we talked about.,,,,,
a.A6YXeaLQTK9eSJA1IKi5w,Training,,"19/5/2025, 9:25:00 a. m.","19/5/2025, 1:25:00 a. m.",,,,,,,,,
6CUsjt9tTKGe5x2BGlU3hA,Training,,"13/5/2025, 10:00:00 a. m.","13/5/2025, 12:00:00 p. m.",,,,,,,,,
fYz-dKBDSjyA9ymdydS36w,Training,46UWJpT7SZy7lauJCJiQvg,"20/5/2025, 10:00:00 a. m.","20/5/2025, 12:00:00 p. m.",,,"Mas escora y mas proa en la gybe. 

Mantener mayor casadita en el giro y volver a pesacarla en el camino, asi no se me suelta y ya c la pegada pasan (no necesito pasarloa en el medio)

Acelerar el giro de la virada en las q el giro viene bien.

Roles largada: maxi barcos, tadeo q este la escora para darle a tiempo.

Aprender a navegar al 80%: ir fino y saber cuándo y cómo aprovechar las presiones y cómo llegar a las calmas con un pelo de escora.","Analizar casos protestas:
Gybeset.
Gybe en las esloras de las sota.

Seguir laburando soltada de foque antes de virar.

En dias de mucha inestabilidad yo laburar la escora en cenida mas desde el cañito y tadeo mas del corner. 

Crunch rapido para no perder la inercia q tenia de la racha.

Ver en popa de q tadeo me deje salir antes para afuera asi siento si es buen momento de acelerar para adelante. 

Navegar al 80% cuando se crea necesario. 

Tadeo ser mas claro si se le complica la virada p proa asi reacciono rapido y agarro escota.",,,,,
FULxize3SRSyvJX1OBAJag,Training,46UWJpT7SZy7lauJCJiQvg,"21/5/2025, 12:00:00 p. m.","21/5/2025, 2:00:00 p. m.",,,"Maxi postura agarrando bien de lejos el foque dandole una vuelta (me deja siempre prep para darle una soltada) enrosco de adentro hacia afuera

Sensación en ceñida línea recta
Soltada de mayor para acelerar y luego recuperar para no perder ni la línea ni la presión en el timon

- mirar el agua para liberar la presión de mayor y que el barco genere camino, después comunicar al timo empiezo a meter, e ir entrando mayor con un mini delay al ritmo que sube la proa para ya loquearlo

- Como usar el vang cuando estoy pasado de vueltas. Si tengo muchas vueltas dejo el vang más suelto para no hacer stall si tengo la tensión bien buscar más vang de lo que venía buscando.

- Cambio de 8, a 8 kts. Mini paso atrás el barco levantaba mucho. Trabajo fino con mayor por abajo del elástico mirar la proa y sentir.

- Virada: la técnica Klaus es muy buena, tengo que usarla ya más tranquilo sabiendo que llego y tomar el centro de modo tal que me traslado pie a pie el de adelante al rail y el de afuera sale de modo que sea una volcada. 

- Trasluchada paso corto con el pie de atrás, y entro con el de adelante. Buscar acelerar la pasada de globo","Poner el barco en nros y c todo ya seteado mas rapido post acelerada de partida

Hablar mas de las sensaciones q tengo en el timon.

Seguir practicando el acelerar el timon en el medio del giro de la virada

Mas mayor en popa para sostener la linea.

Siempre buscar q acelere para adelante en popa.

Tirarme c el cuerpo para afuera y no para atras en popa (aun si estoy en strap de atras)

Sobrevivir la calma c una soltadita de foque (ya q es lo mas reactivo y facil comparado al vang)

",,,,,
IpxqUbi5SxWklDzpPu51PQ,Training,46UWJpT7SZy7lauJCJiQvg,"22/5/2025, 1:00:00 p. m.","22/5/2025, 3:00:00 p. m.",,,"Llevada en popa buscando q el globo vaya siempre ahi en 75% y casi no se tenga q mover en los cambios de viento (q no suceda q se aprete al 90% para sobrevivir, sino q mover los pesos) (lo mismo c la mayor, que vaya ahi acompañando, y no tener w matarla para sobrevivir.

Sensacion en cenida cuando entra la presion de ir llevandolo para arriba, luego entrando mayor y c peso(muy suave).

Sensación de ir navegando al 85: Aprender a ir llevando el barco hacia sus límites pero también aprender a ser conservador en la llevada y eficiente.

Moños: todo pasa por la escora y los pesos para mañobrar, sentí que fuimos finos en eso y nos ayudaba a girar muy bien!","Soltar foque para virar si estoy mas adentro del 90%

Mayor full in en arrancadas, ver como pasarla sin q se me suelte tmb ): (si es importante, pero también es importante pegar el pamp con la mayor suelta para que empuje.

Pasar los battens en el medio del gybeset.

Poray ser mas claro si siento q podemos ir c doble pump en la salida de gybe asi pasan los battens y no tengo q pasarlos en el medio. sigo c el tema de los battens q habia solucionado el dia de las regatitas vs klaus/herni ?!?

Ser muy finos en ceñida con los cuerpos y cuidar mas la escora tuvimos unos momentos post largadas, que se nos vino mucho el barco y eso puede ser muy peligroso.

Afinar la entrada al barco en las viradas, hacer rápido el juego de manos y usar la mayor para meterme al medio y así evitar que se suelte.


",,,,,
dlBmwdrsQHmKLSTkh0zzlw,Training,KQOW-XQESbGncHvEZwW-Ag,"27/5/2025, 9:51:00 a. m.","27/5/2025, 12:51:00 p. m.",,,,,,,,,
